period,first_of_month_prior12,first_of_month,period_name,Days_In_Last_3_Months,qtr,first_of_month_prior6,qtr_name,first_of_month_prior3,month_end,periodkey,days_in_month,month_end_prior6,fyyear,
10.0,2018-11-01 00:00:00.0,2019-10-01 00:00:00.0,October-2019,92,4.0,2019-05-01 00:00:00.0,4TH QUARTER - 2019,2019-08-01 00:00:00.0,2019-10-31 00:00:00.0,201910,31.0,2019-05-31 00:00:00.0,2019.0,
11.0,2018-12-01 00:00:00.0,2019-11-01 00:00:00.0,November-2019,91,4.0,2019-06-01 00:00:00.0,4TH QUARTER - 2019,2019-09-01 00:00:00.0,2019-11-30 00:00:00.0,201911,30.0,2019-06-30 00:00:00.0,2019.0,
12.0,2019-01-01 00:00:00.0,2019-12-01 00:00:00.0,December-2019,92,4.0,2019-07-01 00:00:00.0,4TH QUARTER - 2019,2019-10-01 00:00:00.0,2019-12-31 00:00:00.0,201912,31.0,2019-07-31 00:00:00.0,2019.0,
10.0,2011-11-01 00:00:00.0,2012-10-01 00:00:00.0,October-2012,92,4.0,2012-05-01 00:00:00.0,4TH QUARTER - 2012,2012-08-01 00:00:00.0,2012-10-31 00:00:00.0,201210,31.0,2012-05-31 00:00:00.0,2012.0,
11.0,2011-12-01 00:00:00.0,2012-11-01 00:00:00.0,November-2012,91,4.0,2012-06-01 00:00:00.0,4TH QUARTER - 2012,2012-09-01 00:00:00.0,2012-11-30 00:00:00.0,201211,30.0,2012-06-30 00:00:00.0,2012.0,
12.0,2012-01-01 00:00:00.0,2012-12-01 00:00:00.0,December-2012,92,4.0,2012-07-01 00:00:00.0,4TH QUARTER - 2012,2012-10-01 00:00:00.0,2012-12-31 00:00:00.0,201212,31.0,2012-07-31 00:00:00.0,2012.0,
1.0,2012-02-01 00:00:00.0,2013-01-01 00:00:00.0,January-2013,92,1.0,2012-08-01 00:00:00.0,1ST QUARTER - 2013,2012-11-01 00:00:00.0,2013-01-31 00:00:00.0,201301,31.0,2012-08-31 00:00:00.0,2013.0,
2.0,2012-03-01 00:00:00.0,2013-02-01 00:00:00.0,February-2013,90,1.0,2012-09-01 00:00:00.0,1ST QUARTER - 2013,2012-12-01 00:00:00.0,2013-02-28 00:00:00.0,201302,28.0,2012-09-30 00:00:00.0,2013.0,
3.0,2012-04-01 00:00:00.0,2013-03-01 00:00:00.0,March-2013,90,1.0,2012-10-01 00:00:00.0,1ST QUARTER - 2013,2013-01-01 00:00:00.0,2013-03-31 00:00:00.0,201303,31.0,2012-10-31 00:00:00.0,2013.0,
4.0,2012-05-01 00:00:00.0,2013-04-01 00:00:00.0,April-2013,89,2.0,2012-11-01 00:00:00.0,2ND QUARTER - 2013,2013-02-01 00:00:00.0,2013-04-30 00:00:00.0,201304,30.0,2012-11-30 00:00:00.0,2013.0,
